420,1105,D,S,2,C
2000,1114,D,S,2,A
29ER,903,D,S,2,A
505,903,D,S,2,C
ALBACORE,1040,D,S,2,0
BLAZE,1033,S,U,1,0
BRITISH MOTH,1160,S,U,1,0
BYTE CII,1135,S,U,1,0
COMET,1210,S,U,1,0
COMET TRIO (MK I),1104,D,S,2,A
CONTENDER,969,S,U,1,0
DEVOTI D-ONE,948,S,U,1,A
DEVOTI D-ZERO,1029,S,U,1,0
ENTERPRISE,1122,D,S,2,0
EUROPE,1141,S,U,1,0
FINN,1049,S,U,1,0
FIREBALL,952,D,S,2,C
FIREFLY,1172,D,S,2,0
GP14,1130,D,S,2,C
GRADUATE,1132,D,S,2,C
HADRON H2,1034,S,U,1,0
KESTREL,1038,D,S,2,C
LARK,1073,D,S,2,C
LASER II FUN,1085,D,S,2,0
LASER,1100,L,S,2,0
LASER 4.7,1208,L,S,2,0
LASER RADIAL,1147,L,U,1,0
LIGHTNING 368,1162,S,U,1,0
MEGABYTE,1076,S,U,1,0
MERLIN-ROCKET,980,D,S,2,C
MIRACLE,1194,D,S,2,C
MIRROR (D/H),1390,D,S,2,C
MIRROR (S/H),1380,S,S,1,0
MUSTO SKIFF,849,S,U,1,A
NATIONAL 12,1064,D,S,2,0
OK,1104,S,U,1,0
OPTIMIST,1642,S,U,1,0
OSPREY,930,D,S,2,C
PHANTOM,1004,S,U,1,0
PEGASUS,1050,D,U,2,0
ROOSTER 8.1,1045,S,U,1,0
RS 100 8.4,1004,S,U,1,A
RS 100 10.2,981,S,U,1,A
RS 200,1046,D,S,2,A
RS 300,970,S,U,1,0
RS 400,942,D,S,2,A
RS 500,966,D,S,2,A
RS 600,920,S,U,1,0
RS 700,845,S,U,1,A
RS 800,799,D,S,2,A
RS AERO 5,1136,S,U,1,0
RS AERO 7,1065,S,U,1,0
RS AERO 9,1014,S,U,1,0
RS FEVA XL,1244,D,D,2,0
RS TERA PRO,1359,S,U,1,0
RS TERA SPORT,1438,S,U,1,0
RS VAREO,1093,S,U,1,0
RS VISION,1137,D,S,2,0
RS QUEST,1145,D,S,2,0
SCORPION,1041,D,S,2,C
SEAFLY,1071,D,S,2,0
SNIPE,1108,C,U,1,C
SOLO,1142,S,U,1,0
SOLUTION,1092,S,U,1,0
STREAKER,1128,S,U,1,0
SUPERNOVA,1077,S,U,1,0
TASAR,1020,D,S,2,0
TOPPER,1363,S,U,1,O
WANDERER,1190,D,S,2,C
WAYFARER,1102,D,S,2,C
4000,917,D,S,2,A
ALTO,926,D,S,2,A
B14,860,D,S,2,A
BUZZ,1030,D,S,2,A
BYTE CI,1207,S,U,1,0
CADET,1430,D,S,2,C
CANOE INTERNATIONAL,884,S,S,1,0
COMET TRIO MKII,1056,D,S,2,A
HORNET,955,D,S,2,C
JAVELIN,944,D,S,2,C
LASER II,1085,D,S,2,C
LASER EPS,1033,S,S,2,0
LASER STRATOS,1100,D,S,2,A
TOPPER 4.2,1416,S,U,1,O
VORTEX,914,S,U,1,0
FLYING FIFTEEN,1015,D,S,2,C
K1,1064,S,S,2,0
K6,913,D,S,2,A
A CLASS,684,C,U,1,0
CATAPULT,903,C,U,1,0
CHALLENGER,1173,C,U,1,0
DART 18,832,C,S,2,0
FORMULA 18,673,C,S,2,A
HURRICANE 5.9 SX,695,C,S,2,A
SPITFIRE,719,C,S,2,0
SPRINT 15 ,926,C,U,1,0
SPRINT 15 SPORT ,904,C,S,1,0
405,1089,D,S,2,0
470,973,D,S,2,C
49ER,697,D,S,2,A
BOSUN,1198,D,S,2,0
BYTE,1190,S,U,1,0
CHERUB,903,D,S,2,A
COMET DUO,1178,D,S,2,0
COMET MINO,1193,S,U,1,0
COMET RACE,1050,S,U,1,0
COMET TRIO,1097,D,S,2,0
COMET VERSA,1165,S,U,1,0
COMET ZERO ,1250,D,S,2,0
D-ONE,948,S,U,1,A
D-ZERO,1029,S,U,1,0
D-ZERO BLUE,1066,S,U,1,0
DART 16 SLOOP D/H,905,C,U,1,0
DART 18 S/H,824,C,U,1,0
FLYING DUTCHMAN,879,D,S,2,C
HALO,992,S,S,2,0
HERON,1345,D,U,1,0
HOBIE 16,819,C,S,2,0
ICON,976,D,S,2,0
INT 14,758,D,S,2,A
INT CANOE,893,S,U,1,0
INT CANOE - ASYM,866,S,U,1,A
INT LIGHTNING,1003,S,U,1,0
INT MOTH,570,S,U,1,0
INT MOTH - NO FOILS,980,S,U,1,0
ISO,922,D,S,2,A
LASER 3000,1085,D,U,1,A
LASER 5000,846,D,S,2,A
LASER BAHIA,1095,D,S,2,A
LASER PICO,1330,S,U,1,0
LASER VAGO XD,1074,D,S,2,A
LASER VAGO XD S/H,1074,S,U,1,A
LEADER,1115,D,S,2,C
MARAUDER,1042,S,U,1,0
MERLIN ROCKET,980,D,S,2,C
MIRROR,1390,D,S,2,C
MIRROR 1 UP,1380,S,S,1,0
MRX,981,D,S,2,C
NATIONAL 18,936,D,S,2,C
NORFOLK PUNT,870,D,S,2,C
OTTER,1275,D,S,2,0
PACER,1038,D,S,2,0
RS FEVA,1290,D,S,2,0
RS QUEST,1110,D,D,2,C
RS VENTURE,1092,D,S,2,0
SHADOW,9999,C,S,2,0
SHADOW X,9999,C,S,2,0
SHEARWATER,9999,C,S,2,A
SIGNET,1265,S,U,1,0
SK2,953,S,U,1,0
SK4,760,D,S,2,0
SL16,9999,D,S,2,0
SONAR,940,D,S,2,C
SPEEDBREED,1432,S,U,1,0
SPICE,930,D,S,2,A
SPLASH,1208,S,U,1,0
SPORT 14,1055,D,S,2,A
SPORT 16,1040,D,S,2,A
SPRINT 15,927,C,U,1,0
SPRINT 15 SPORT,904,C,U,1,0
STEALTH,723,C,S,2,A
SUNFISH,1229,S,U,1,0
TOPAZ DUO,1190,D,S,2,0
TOPAZ MAGNO,1175,S,U,1,0
TOPAZ OMEGA,1075,D,S,2,A
TOPAZ UNO,1251,S,S,2,0
TOPAZ VIBE,1185,S,D,2,A
TOPAZ XENON,1079,D,D,2,0
VAGABOND,1248,D,S,2,0
VAURIEN,1140,D,S,2,0
YEOMAN,1108,D,S,2,0
YW DAYBOAT,1200,D,S,2,0
TOY,1025,S,U,1,0
WOODEN PHANTOM,1035,S,U,1,0
